id,url,text,createdAt,retweetCount,replyCount,likeCount,quoteCount,viewCount,isReply
2.06E+18,https://x.com/mfpierres/status/2055165418592235883,"@BudiBukanIntel Kalau belain Nadiem, jasanya buat lapangan kerja lewat gojek dibawa-bawa terus. Giliran dikonter pake sistem gojek yg eksploitatif terhadap mitra dan bobroknya sistem pendidikan waktu jaman dia mentri, malah disuruh fokus bahas kasus kriminalisasi aja. Wkwkwk techbro kontol emg",Fri May 15 05:56:33 +0000 2026,0,0,0,0,38,TRUE
2.06E+18,https://x.com/Sidik_Best/status/2055165301319454833,"@RidhaIntifadha Lho jaksanya sudah terbukti bodoh ga tau soal saham gitu! Ya karena bodohlah makanya jaksanya pansos menggunakan kasus nadiem, iseng2 berhadiah, kalah ga jadi abu.",Fri May 15 05:56:05 +0000 2026,0,2,2,0,574,TRUE
2.06E+18,https://x.com/Bandivokt2/status/2055164070018547950,"@seekracle @BudiBukanIntel tp untuk case kasus ini para penyefong nadiem dari kalangan tekbro dan kls menengah nghek dibantu buzer agency mna tau, ini bawa gojek bahwa aplikasi ini sebagai penyelamat. halaahh waasuuu",Fri May 15 05:51:12 +0000 2026,0,1,1,0,21,TRUE
2.06E+18,https://x.com/gusazizz/status/2055163838144921831,melihat kasus nadiem jadi males mau ngabdi buat negeri,Fri May 15 05:50:16 +0000 2026,0,0,0,0,2,FALSE
2.06E+18,https://x.com/movingcountries/status/2055162751962738899,"@bukanyeaou Kasusnya Nadiem ini gak semudah baca kasus Bu Ira atau Pak Tom sih emg. Nadiem itu musuh PNS kemendikbud + guru2 (PNS dan honorer). Kebijakan dia bikin murid2 bodoh lulus SD gabisa calistung, guru2 jadi ribet sama digitalisasi. Makanya meskipun dia dikriminalisasi, dia dimampusin",Fri May 15 05:45:57 +0000 2026,0,1,0,0,21,TRUE
2.06E+18,https://x.com/Lukman_Mth/status/2055162383115731369,"Tapi kalo kasus Nadiem ini kerugian negaranya mah jelas dong, tinggal buktiin aja ada niat jahat atau engga. Gue sih setuju Nadiem harus bertanggung jawab dalam kasus ini, engga bisa dia bebas.",Fri May 15 05:44:29 +0000 2026,1,0,1,0,51,FALSE
2.06E+18,https://x.com/muhakramhanif/status/2055161545982894397,"@ikramjindan @eliswija @itsurboihyl kurang setuju di bagian ""bela nadiem seolah bersih"".  gw juga setuju di bagian nadim kinerjanya jelek. kurmed bikin orang yang kurang paham dibikin seolah paham. tapi, sekarang gw mempersalahkan bagian kasus korupsi chromebook, bukan nadim layak dihukum karena kinerjanya jelek",Fri May 15 05:41:10 +0000 2026,0,0,0,0,58,TRUE
2.06E+18,https://x.com/pancasila1708/status/2055158193341489322,"Kecewanya aku sama kasus Nadiem ini kek KALIAN TAU INI SALAH DAN GAK ADIL. TAPI KALIAN SEMUA DIAM DAN MEMBIARKAN TUNTUTAN ITU AKHIRNYA MENDAPATKAN KETUKAN PALU YANG SAH!  Semua orang berkata, ""Ini tidak adil!"" Lalu apa setelahnya? Melanjutkan hidup seperti biasa?",Fri May 15 05:27:50 +0000 2026,0,0,0,0,47,TRUE
2.06E+18,https://x.com/iwakwadibawuy/status/2055158009295430050,"@RidhaIntifadha btw ada gak om , kasus korupsi dengan kerugian besar yg vonisnya juga sepadan dgn dampaknya selain nadiem?",Fri May 15 05:27:07 +0000 2026,0,1,0,0,6,FALSE
2.06E+18,https://x.com/Last__Sword/status/2055157902265163782,"Apa yg publik lihat dari kasus Nadiem Makarim ini banyak sekali kejanggalan kalau ini kasus korupsi, faktanya Nadiem tidak pernah menerima uang, tidak pernah berupaya memperkaya diri melalui kebijakan, bahkan secara finansial Nadiem yg justru menurun kekayaannya semenjak menjadi menteri dan tidak ada mens rea.  Dalam kasus ini kerugian negara juga sama sekali tidak terbukti. Sehingga publik menyimpulkan bahwa kasus Nadiem Makarim ini terkesan Lemah, Rapuh dan Dipaksakan.",Fri May 15 05:26:41 +0000 2026,0,0,0,0,152,TRUE
2.06E+18,https://x.com/_Rizmaya__/status/2055157092403777588,"@CWALIKOTADPK @Youbeagger_ @PecintaSejarah2 last y ??bener semua pejabat itu rentan COI, nah batasnya itu di ""Penyalahgunaan Wewenang"". Kebijakan makro yg nguntungin semua orang itu sah. Tapi ngunci spek tender APBN secara spesifik untuk nguntungin investor sendiri, itu mens rea yang diincar Jaksa di kasus nadiem ??",Fri May 15 05:23:28 +0000 2026,18,4,25,0,284,FALSE
